date,Mean Sale Price,state,Mean Home Value,mean,Metropolitan Area
2018-08-31,394588.0,"Bend, OR",381885.6673380665,1489.3681102448622,"Bend, OR"
2018-09-30,396351.0,"Bend, OR",383510.7506319305,1495.1708480814364,"Bend, OR"
2018-10-31,391015.0,"Bend, OR",384594.68496391736,1492.019209306001,"Bend, OR"
2018-11-30,385500.0,"Bend, OR",385442.6700860246,1483.6610938410454,"Bend, OR"
2018-12-31,384032.0,"Bend, OR",387043.5688064264,1482.1773635666991,"Bend, OR"
2019-01-31,385450.0,"Bend, OR",389061.77938897273,1477.8777212535033,"Bend, OR"
2019-02-28,387005.0,"Bend, OR",391209.6758951012,1487.8763683002755,"Bend, OR"
2019-03-31,385816.0,"Bend, OR",392926.5377021165,1507.321150771391,"Bend, OR"
2019-04-30,391605.0,"Bend, OR",393933.9960357191,1538.0431355836477,"Bend, OR"
2019-05-31,403056.0,"Bend, OR",394319.0507870447,1560.8979643732628,"Bend, OR"
2019-06-30,410268.0,"Bend, OR",394709.5922920232,1570.4344879127696,"Bend, OR"
2019-07-31,412774.0,"Bend, OR",395688.18698873447,1579.259608356853,"Bend, OR"
2019-08-31,415773.0,"Bend, OR",397573.093128764,1586.9790288224035,"Bend, OR"
2019-09-30,411332.0,"Bend, OR",399745.97357953625,1606.7432614894387,"Bend, OR"
2019-10-31,415872.0,"Bend, OR",402138.35898370825,1608.2931304583497,"Bend, OR"
2019-11-30,407555.0,"Bend, OR",404880.3401796194,1599.173341612913,"Bend, OR"
2019-12-31,411134.0,"Bend, OR",407768.1015371185,1594.608141733285,"Bend, OR"
2020-01-31,409945.0,"Bend, OR",411613.9039292654,1589.0702403417922,"Bend, OR"
2020-02-29,414596.0,"Bend, OR",415578.26386503625,1605.4636440310398,"Bend, OR"
2020-03-31,423019.0,"Bend, OR",419776.8558435365,1603.859760986579,"Bend, OR"
2020-04-30,424185.0,"Bend, OR",422996.66333496623,1601.316510337575,"Bend, OR"
2020-05-31,424489.0,"Bend, OR",424858.5398446132,1603.6111362265503,"Bend, OR"
2020-06-30,422008.0,"Bend, OR",425523.7023641962,1613.6821080010857,"Bend, OR"
2020-07-31,434006.0,"Bend, OR",425995.7758548145,1667.6498972655113,"Bend, OR"
2020-08-31,441862.0,"Bend, OR",428436.555050816,1706.8298476229616,"Bend, OR"
2020-09-30,458397.0,"Bend, OR",433547.3296775838,1773.2790856993072,"Bend, OR"
2020-10-31,460735.0,"Bend, OR",441474.0459332655,1797.027283501286,"Bend, OR"
2020-11-30,476466.0,"Bend, OR",452034.5545484173,1839.267855866021,"Bend, OR"
