DATE,USAUCSFRCONDOSMSAMID
2000-01-01,121428.34833804896
2000-02-01,121641.97972990136
2000-03-01,121906.91411088879
2000-04-01,122475.14635453552
2000-05-01,123129.11354070103
2000-06-01,123830.25450465351
2000-07-01,124572.90011769744
2000-08-01,125374.51378427229
2000-09-01,126208.33431080042
2000-10-01,127045.33063063184
2000-11-01,127878.31881352956
2000-12-01,128712.4321195152
2001-01-01,129478.10035883555
2001-02-01,130156.18412357314
2001-03-01,130810.2066530378
2001-04-01,131517.3504261537
2001-05-01,132280.4666067222
2001-06-01,133063.40741141405
2001-07-01,133869.02483803505
2001-08-01,134710.65407581456
2001-09-01,135559.7912577769
2001-10-01,136405.2798212882
2001-11-01,137193.31876618086
2001-12-01,137932.12090760897
2002-01-01,138585.52389299296
2002-02-01,139210.49030464995
2002-03-01,139847.61546285814
2002-04-01,140540.78290970912
2002-05-01,141306.39949637497
2002-06-01,142135.7144537896
2002-07-01,143044.8885906362
2002-08-01,144015.58571125046
2002-09-01,144999.19320578428
2002-10-01,145981.31393122196
2002-11-01,146916.71578039974
2002-12-01,147827.35699956698
2003-01-01,148651.44137265687
2003-02-01,149439.97260479772
2003-03-01,150228.0768914699
2003-04-01,151086.07159561422
2003-05-01,152030.08585755594
2003-06-01,153009.4124361578
2003-07-01,154040.01209772978
2003-08-01,155134.60877896647
2003-09-01,156292.85363859977
2003-10-01,157461.64241546622
2003-11-01,158548.48886570943
2003-12-01,159570.4942157136
2004-01-01,160546.25629169765
2004-02-01,161588.68328491572
2004-03-01,162738.74559451526
2004-04-01,164024.41857757772
2004-05-01,165472.14551281944
2004-06-01,167048.77840692239
2004-07-01,168747.74773400638
2004-08-01,170471.1595950935
2004-09-01,172172.7476857086
2004-10-01,173803.35458177034
2004-11-01,175333.79972663216
2004-12-01,176841.58900306668
2005-01-01,178300.48577925636
2005-02-01,179788.9483284211
2005-03-01,181324.40088395157
2005-04-01,183054.1493892821
2005-05-01,184891.6478057961
2005-06-01,186816.2570263641
2005-07-01,188755.2104300725
2005-08-01,190716.4598472167
2005-09-01,192645.17249132044
2005-10-01,194471.93191239415
2005-11-01,196139.570682339
2005-12-01,197646.37042474782
2006-01-01,198936.7045209518
2006-02-01,200135.04018941292
2006-03-01,201342.01009761498
2006-04-01,202638.86855856885
2006-05-01,203918.8679153462
2006-06-01,205047.81624965815
2006-07-01,205932.33703445698
2006-08-01,206612.83849156936
2006-09-01,207058.41958172937
2006-10-01,207373.08674411193
2006-11-01,207537.9947789316
2006-12-01,207637.5041951998
2007-01-01,207674.29084962778
2007-02-01,207713.45005162767
2007-03-01,207741.70476046903
2007-04-01,207770.47301447892
2007-05-01,207678.79536010325
2007-06-01,207415.39004511698
2007-07-01,206926.07101997474
2007-08-01,206348.1449911521
2007-09-01,205657.88427836317
2007-10-01,204916.48318356488
2007-11-01,204026.45908011904
2007-12-01,203087.3438387157
